dataset,instance,seed,checkpoint_s,score_at_checkpoint,progress_to_final_improvement
seed_based,input/seed_based/ce_090x_008t.txt,78,30,20523529.0,0.4830668858010857
seed_based,input/seed_based/ce_090x_008t.txt,78,60,20555051.0,0.5811855670103093
seed_based,input/seed_based/ce_090x_008t.txt,78,120,20588040.0,0.683870586184571
seed_based,input/seed_based/ce_090x_008t.txt,78,300,20658951.0,0.9045955973903083
seed_based,input/seed_based/ce_090x_008t.txt,78,600,20689601.0,1.0
seed_based,input/seed_based/ce_090x_008t.txt,89,0,20368337.0,0.0
seed_based,input/seed_based/ce_090x_008t.txt,89,30,20519985.0,0.48007192468168897
seed_based,input/seed_based/ce_090x_008t.txt,89,60,20547082.0,0.5658528709724394
seed_based,input/seed_based/ce_090x_008t.txt,89,120,20589549.0,0.7002906111698524
seed_based,input/seed_based/ce_090x_008t.txt,89,300,20651076.0,0.8950665746503486
seed_based,input/seed_based/ce_090x_008t.txt,89,600,20684223.0,1.0
seed_based,input/seed_based/ce_090x_008t.txt,100,0,20368337.0,0.0
seed_based,input/seed_based/ce_090x_008t.txt,100,30,20480562.0,0.3802806401659037
seed_based,input/seed_based/ce_090x_008t.txt,100,60,20533367.0,0.5592133129568196
seed_based,input/seed_based/ce_090x_008t.txt,100,120,20580618.0,0.7193259485413963
seed_based,input/seed_based/ce_090x_008t.txt,100,300,20637283.0,0.9113384455340533
seed_based,input/seed_based/ce_090x_008t.txt,100,600,20663448.0,1.0
real_world,input/real_world/B90k_L850_D21.txt,1,0,828.0,0.0
real_world,input/real_world/B90k_L850_D21.txt,1,30,869.0,1.0
real_world,input/real_world/B90k_L850_D21.txt,1,60,869.0,1.0
real_world,input/real_world/B90k_L850_D21.txt,1,120,869.0,1.0
real_world,input/real_world/B90k_L850_D21.txt,1,300,869.0,1.0
real_world,input/real_world/B90k_L850_D21.txt,1,600,869.0,1.0
real_world,input/real_world/B90k_L850_D21.txt,12,0,828.0,0.0
real_world,input/real_world/B90k_L850_D21.txt,12,30,869.0,1.0
real_world,input/real_world/B90k_L850_D21.txt,12,60,869.0,1.0
real_world,input/real_world/B90k_L850_D21.txt,12,120,869.0,1.0
real_world,input/real_world/B90k_L850_D21.txt,12,300,869.0,1.0
real_world,input/real_world/B90k_L850_D21.txt,12,600,869.0,1.0
real_world,input/real_world/B90k_L850_D21.txt,23,0,828.0,0.0
real_world,input/real_world/B90k_L850_D21.txt,23,30,869.0,1.0
real_world,input/real_world/B90k_L850_D21.txt,23,60,869.0,1.0
real_world,input/real_world/B90k_L850_D21.txt,23,120,869.0,1.0
real_world,input/real_world/B90k_L850_D21.txt,23,300,869.0,1.0
real_world,input/real_world/B90k_L850_D21.txt,23,600,869.0,1.0
real_world,input/real_world/B90k_L850_D21.txt,34,0,828.0,0.0
real_world,input/real_world/B90k_L850_D21.txt,34,30,869.0,1.0
real_world,input/real_world/B90k_L850_D21.txt,34,60,869.0,1.0
real_world,input/real_world/B90k_L850_D21.txt,34,120,869.0,1.0
real_world,input/real_world/B90k_L850_D21.txt,34,300,869.0,1.0
real_world,input/real_world/B90k_L850_D21.txt,34,600,869.0,1.0
real_world,input/real_world/B90k_L850_D21.txt,45,0,828.0,0.0
real_world,input/real_world/B90k_L850_D21.txt,45,30,869.0,1.0
real_world,input/real_world/B90k_L850_D21.txt,45,60,869.0,1.0
real_world,input/real_world/B90k_L850_D21.txt,45,120,869.0,1.0
real_world,input/real_world/B90k_L850_D21.txt,45,300,869.0,1.0
real_world,input/real_world/B90k_L850_D21.txt,45,600,869.0,1.0
real_world,input/real_world/B90k_L850_D21.txt,56,0,828.0,0.0
real_world,input/real_world/B90k_L850_D21.txt,56,30,869.0,1.0
real_world,input/real_world/B90k_L850_D21.txt,56,60,869.0,1.0
real_world,input/real_world/B90k_L850_D21.txt,56,120,869.0,1.0
real_world,input/real_world/B90k_L850_D21.txt,56,300,869.0,1.0
real_world,input/real_world/B90k_L850_D21.txt,56,600,869.0,1.0
real_world,input/real_world/B90k_L850_D21.txt,67,0,828.0,0.0
real_world,input/real_world/B90k_L850_D21.txt,67,30,869.0,1.0
real_world,input/real_world/B90k_L850_D21.txt,67,60,869.0,1.0
real_world,input/real_world/B90k_L850_D21.txt,67,120,869.0,1.0
real_world,input/real_world/B90k_L850_D21.txt,67,300,869.0,1.0
real_world,input/real_world/B90k_L850_D21.txt,67,600,869.0,1.0
real_world,input/real_world/B90k_L850_D21.txt,78,0,828.0,0.0
real_world,input/real_world/B90k_L850_D21.txt,78,30,869.0,1.0
real_world,input/real_world/B90k_L850_D21.txt,78,60,869.0,1.0
real_world,input/real_world/B90k_L850_D21.txt,78,120,869.0,1.0
real_world,input/real_world/B90k_L850_D21.txt,78,300,869.0,1.0
real_world,input/real_world/B90k_L850_D21.txt,78,600,869.0,1.0
real_world,input/real_world/B90k_L850_D21.txt,89,0,828.0,0.0
real_world,input/real_world/B90k_L850_D21.txt,89,30,869.0,1.0
real_world,input/real_world/B90k_L850_D21.txt,89,60,869.0,1.0
real_world,input/real_world/B90k_L850_D21.txt,89,120,869.0,1.0
real_world,input/real_world/B90k_L850_D21.txt,89,300,869.0,1.0
real_world,input/real_world/B90k_L850_D21.txt,89,600,869.0,1.0
real_world,input/real_world/B90k_L850_D21.txt,100,0,828.0,0.0
real_world,input/real_world/B90k_L850_D21.txt,100,30,869.0,1.0
real_world,input/real_world/B90k_L850_D21.txt,100,60,869.0,1.0
real_world,input/real_world/B90k_L850_D21.txt,100,120,869.0,1.0
real_world,input/real_world/B90k_L850_D21.txt,100,300,869.0,1.0
real_world,input/real_world/B90k_L850_D21.txt,100,600,869.0,1.0
real_world,input/real_world/B35k_L60_D120.txt,1,0,12544648.0,0.0
real_world,input/real_world/B35k_L60_D120.txt,1,30,12864753.0,1.0
real_world,input/real_world/B35k_L60_D120.txt,1,60,12864753.0,1.0
real_world,input/real_world/B35k_L60_D120.txt,1,120,12864753.0,1.0
real_world,input/real_world/B35k_L60_D120.txt,1,300,12864753.0,1.0
